sector_passthru,subsector_passthru,technology_passthru,sector,subsector,technology
electricity,solar,CSP,elec_CSP,CSP,CSP (recirculating)
electricity,solar,CSP,elec_CSP,CSP,CSP (dry_hybrid)
electricity,solar,CSP_storage,elec_CSP_storage,CSP_storage,CSP_storage (recirculating)
electricity,solar,CSP_storage,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid)
electricity,nuclear,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (once through)
electricity,nuclear,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (seawater)
electricity,nuclear,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (recirculating)
electricity,nuclear,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (cooling pond)
electricity,nuclear,Gen_III,elec_Gen_III,Gen_III,Gen_III (once through)
electricity,nuclear,Gen_III,elec_Gen_III,Gen_III,Gen_III (seawater)
electricity,nuclear,Gen_III,elec_Gen_III,Gen_III,Gen_III (recirculating)
electricity,nuclear,Gen_III,elec_Gen_III,Gen_III,Gen_III (cooling pond)
electricity,coal,coal (conv pul CCS),elec_coal (conv pul CCS),coal (conv pul CCS),coal (conv pul CCS) (once through)
electricity,coal,coal (conv pul CCS),elec_coal (conv pul CCS),coal (conv pul CCS),coal (conv pul CCS) (seawater)
electricity,coal,coal (conv pul CCS),elec_coal (conv pul CCS),coal (conv pul CCS),coal (conv pul CCS) (recirculating)
electricity,coal,coal (conv pul CCS),elec_coal (conv pul CCS),coal (conv pul CCS),coal (conv pul CCS) (dry cooling)
electricity,coal,coal (IGCC CCS),elec_coal (IGCC CCS),coal (IGCC CCS),coal (IGCC CCS) (once through)
electricity,coal,coal (IGCC CCS),elec_coal (IGCC CCS),coal (IGCC CCS),coal (IGCC CCS) (seawater)
electricity,coal,coal (IGCC CCS),elec_coal (IGCC CCS),coal (IGCC CCS),coal (IGCC CCS) (recirculating)
electricity,coal,coal (IGCC CCS),elec_coal (IGCC CCS),coal (IGCC CCS),coal (IGCC CCS) (dry cooling)
electricity,gas,gas (CC CCS),elec_gas (CC CCS),gas (CC CCS),gas (CC CCS) (once through)
electricity,gas,gas (CC CCS),elec_gas (CC CCS),gas (CC CCS),gas (CC CCS) (seawater)
electricity,gas,gas (CC CCS),elec_gas (CC CCS),gas (CC CCS),gas (CC CCS) (recirculating)
electricity,gas,gas (CC CCS),elec_gas (CC CCS),gas (CC CCS),gas (CC CCS) (dry cooling)
electricity,refined liquids,refined liquids (CC CCS),elec_refined liquids (CC CCS),refined liquids (CC CCS),refined liquids (CC CCS) (once through)
electricity,refined liquids,refined liquids (CC CCS),elec_refined liquids (CC CCS),refined liquids (CC CCS),refined liquids (CC CCS) (seawater)
electricity,refined liquids,refined liquids (CC CCS),elec_refined liquids (CC CCS),refined liquids (CC CCS),refined liquids (CC CCS) (recirculating)
electricity,refined liquids,refined liquids (CC CCS),elec_refined liquids (CC CCS),refined liquids (CC CCS),refined liquids (CC CCS) (dry cooling)
