region,year,sector,subsector,technology,cal_adder
USA,2020,elect_td_bld,rooftop_pv,rooftop_pv,477.8855990976913
USA,2020,electricity,nuclear,Gen_II_LWR,-0.38348890227916854
USA,2020,electricity,nuclear,Gen_III,-43.347892717663854
USA,2020,electricity,solar,CSP,-419.5739476140694
USA,2020,electricity,solar,CSP_storage,-419.5739476140694
USA,2020,electricity,solar,PV,-200.2190140917424
USA,2020,electricity,solar,PV_storage,1155.6805241236425
USA,2020,electricity,wind,wind,-83.29897239893
USA,2020,electricity,wind,wind_storage,1272.6025064933774
USA,2025,elect_td_bld,rooftop_pv,rooftop_pv,-781.6178150516432
USA,2025,electricity,nuclear,Gen_II_LWR,-0.38348890227916854
USA,2025,electricity,nuclear,Gen_III,-109.29330748689449
USA,2025,electricity,solar,CSP,-594.8343457688119
USA,2025,electricity,solar,CSP_storage,-594.8343457688119
USA,2025,electricity,solar,PV,-113.08568941990694
USA,2025,electricity,solar,PV_storage,-688.7906443867021
USA,2025,electricity,wind,wind,-78.29124064209111
USA,2025,electricity,wind,wind_offshore,561.5436007384616
USA,2025,electricity,wind,wind_storage,-673.9744941935014
USA,2030,elect_td_bld,rooftop_pv,rooftop_pv,-412.314971424736
USA,2030,electricity,nuclear,Gen_II_LWR,2.810063645671562
USA,2030,electricity,nuclear,Gen_III,-165.05218300048227
USA,2030,electricity,solar,CSP,-702.1787320085489
USA,2030,electricity,solar,CSP_storage,-702.1787320085489
USA,2030,electricity,solar,PV,-99.12770509874082
USA,2030,electricity,solar,PV_storage,-648.5833120983445
USA,2030,electricity,wind,wind,-88.66025102013344
USA,2030,electricity,wind,wind_offshore,306.7284235657694
USA,2030,electricity,wind,wind_storage,-665.0946634351217
USA,2035,elect_td_bld,rooftop_pv,rooftop_pv,-153.97598040599388
USA,2035,electricity,nuclear,Gen_II_LWR,8.17325182390664
USA,2035,electricity,nuclear,Gen_III,-212.64618669917036
USA,2035,electricity,solar,CSP,-764.0827296954661
USA,2035,electricity,solar,CSP_storage,-764.0827296954661
USA,2035,electricity,solar,PV,-82.1974990921658
USA,2035,electricity,solar,PV_storage,-565.1671756118434
USA,2035,electricity,wind,wind,-88.8887743900772
USA,2035,electricity,wind,wind_offshore,285.63517035239647
USA,2035,electricity,wind,wind_storage,-601.8317208174471
USA,2040,elect_td_bld,rooftop_pv,rooftop_pv,-159.2452453699136
USA,2040,electricity,nuclear,Gen_II_LWR,18.873341872252468
USA,2040,electricity,nuclear,Gen_III,-249.90798612774756
USA,2040,electricity,solar,CSP,-786.3121858424329
USA,2040,electricity,solar,CSP_storage,-786.3121858424329
USA,2040,electricity,solar,PV,-73.08853757038378
USA,2040,electricity,solar,PV_storage,-467.32698099544484
USA,2040,electricity,wind,wind,-83.71378922374794
USA,2040,electricity,wind,wind_offshore,272.3031393798152
USA,2040,electricity,wind,wind_storage,-506.92605394111695
USA,2045,elect_td_bld,rooftop_pv,rooftop_pv,-162.87033303502454
USA,2045,electricity,nuclear,Gen_II_LWR,30.516887018602347
USA,2045,electricity,nuclear,Gen_III,-282.2287785813976
USA,2045,electricity,solar,CSP,-775.6464493038992
USA,2045,electricity,solar,CSP_storage,-775.6464493038992
USA,2045,electricity,solar,PV,-67.62451108805539
USA,2045,electricity,solar,PV_storage,-398.4333302774686
USA,2045,electricity,wind,wind,-79.23886968766234
USA,2045,electricity,wind,wind_offshore,263.72655650753495
USA,2045,electricity,wind,wind_storage,-437.02697946169064
USA,2050,elect_td_bld,rooftop_pv,rooftop_pv,-123.68535514695247
USA,2050,electricity,nuclear,Gen_II_LWR,43.1347508774129
USA,2050,electricity,nuclear,Gen_III,-309.5777004456638
USA,2050,electricity,solar,CSP,-740.4432199290987
USA,2050,electricity,solar,CSP_storage,-740.4432199290987
USA,2050,electricity,solar,PV,-58.620700792033546
USA,2050,electricity,solar,PV_storage,-345.55225441706637
USA,2050,electricity,wind,wind,-73.29752406948353
USA,2050,electricity,wind,wind_offshore,258.3535254848316
USA,2050,electricity,wind,wind_storage,-386.2060086483625
